"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"project-Final.nlogox"
"experiment"
"01/26/2026 14:32:15:586 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","initial-distribution","exposureChance","population","[step]","count turtles","violenceLevel","peopleLeavePlatform","hateSpeechSpread","mean [opinion] of turtles","mean [radicalization] of turtles","mean [trust-in-platform] of turtles"
"172","Moderate Majority","0.6","500","20000","485","86.80412371134021","15","1977945","0.27246679776529764","0.8689525357815573","0.928113402061856"
"173","Moderate Majority","0.6","500","20000","491","85.74338085539715","9","1971255","0.2750373211126803","0.8584430524784065","0.9238391038696535"
"174","Moderate Majority","0.6","500","20000","479","84.96868475991648","21","1878242","0.6997369855594966","0.851137523643548","0.9096450939457204"
"175","Moderate Majority","0.6","500","20000","492","86.78861788617887","8","2025469","0.26071682831366255","0.8693238895397312","0.9313109756097557"
"178","Moderate Majority","0.6","500","20000","485","82.06185567010309","15","1783613","0.6756702087365443","0.8218122652695716","0.8907216494845365"
"176","Moderate Majority","0.6","500","20000","488","85.45081967213115","12","1940403","0.285262718865753","0.8557709052185293","0.9073668032786887"
"181","Moderate Majority","0.6","500","20000","476","75.42016806722688","24","1530335","0.6217368508247035","0.7564701325649498","0.8607037815126052"
"177","Moderate Majority","0.6","500","20000","499","84.76953907815631","1","1984523","0.7284041765772638","0.8489776471736847","0.9271643286573139"
"179","Moderate Majority","0.6","500","20000","482","83.40248962655602","18","1802205","0.310904308390468","0.8353146264481408","0.8990145228215765"
"180","Moderate Majority","0.6","500","20000","494","78.13765182186235","6","1653747","0.3337534241172383","0.7844745159681434","0.9067712550607288"
"182","Moderate Majority","0.6","500","20000","496","82.25806451612904","4","1866557","0.6959716550953138","0.8236369380180483","0.9112298387096776"
"183","Moderate Majority","0.6","500","20000","499","86.17234468937876","1","2060872","0.7428265066432338","0.8628618785332488","0.9382865731462928"
"184","Moderate Majority","0.6","500","20000","496","80.64516129032258","4","1817343","0.6877185433942001","0.8084969477524144","0.9198185483870963"
"185","Moderate Majority","0.6","500","20000","495","83.63636363636363","5","1915378","0.2891197678158148","0.8376379328346935","0.9210909090909092"
"187","Moderate Majority","0.6","500","20000","453","79.24944812362031","47","1513872","0.37591710195345696","0.7938336159303166","0.8716666666666665"
